elementKey,selectionMethod,value
"userbilla","xpath","//html/body/div[contains(@class, 'usabilla__overlay')]/iframe"
"BetaMessageCloseButton","id","close"
"MainLoginButton","css",".login"
"MainLoginButton","css",".login"
"faceBookLoginEmail","id","email"
"facebookLoginPassword","id","pass"
"facebookLoginButton","id","loginbutton"
"userprofile","xpath","//html/body/my-app/div/header/div/fd-login-button/nav/ul/li[4]/button"
"logoutLink","xpath","//html/body/my-app/div/header/div/fd-login-button/nav/ul/li[4]/ul/li[6]/a"
